ich,i, LangMaster de-en
sie,she, LangMaster de-en
das,the, LangMaster de-en
ist,is, LangMaster de-en
du,you, LangMaster de-en
nicht,not, LangMaster de-en
die,the, LangMaster de-en
und,and, LangMaster de-en
es,it, LangMaster de-en
der,the, LangMaster de-en
was,What, LangMaster de-en
wir,weather, LangMaster de-en
er,he, LangMaster de-en
zu,to, LangMaster de-en
ein,a, LangMaster de-en
in,in, LangMaster de-en
mit,with, LangMaster de-en
mir,me, LangMaster de-en
den,the, LangMaster de-en
wie,how, LangMaster de-en
ja,Yes, LangMaster de-en
auf,on, LangMaster de-en
mich,me, LangMaster de-en
so,so/such/that, LangMaster de-en
eine,one, LangMaster de-en
aber,but, LangMaster de-en
hier,here, LangMaster de-en
sind,are, LangMaster de-en
für,for, LangMaster de-en
von,from, LangMaster de-en
haben,to have, LangMaster de-en
hat,Has, LangMaster de-en
dich,you, LangMaster de-en
war,was, LangMaster de-en
dass,that, LangMaster de-en
wenn,if, LangMaster de-en
an,at, LangMaster de-en
da,there, LangMaster de-en
nein,no, LangMaster de-en
bin,am, LangMaster de-en
noch,still, LangMaster de-en
dir,to you, LangMaster de-en
nur,only, LangMaster de-en
habe,have, LangMaster de-en
ihr,your, LangMaster de-en
sich,themselves, LangMaster de-en
einen,a, LangMaster de-en
uns,US, LangMaster de-en
hast,have, LangMaster de-en
dem,to the, LangMaster de-en
ihn,him, LangMaster de-en
aus,the end, LangMaster de-en
kann,can, LangMaster de-en
gut,Well, LangMaster de-en
auch,even, LangMaster de-en
schon,beautiful, LangMaster de-en
jetzt,now, LangMaster de-en
im,in the, LangMaster de-en
sein,be, LangMaster de-en
mal,times, LangMaster de-en
dann,then, LangMaster de-en
meine,my, LangMaster de-en
als,as, LangMaster de-en
um,around, LangMaster de-en
mein,my, LangMaster de-en
doch,but, LangMaster de-en
bist,are you, LangMaster de-en
wird,will, LangMaster de-en
keine,no, LangMaster de-en
nach,after, LangMaster de-en
alles,All, LangMaster de-en
man,One/you/they/people (Indefinite person), LangMaster de-en
lch,l, LangMaster de-en
oder,or, LangMaster de-en
nichts,nothing, LangMaster de-en
wo,Where, LangMaster de-en
werden,will, LangMaster de-en
weiß,White, LangMaster de-en
will,want, LangMaster de-en
geht,goes, LangMaster de-en
mehr,more, LangMaster de-en
warum,why, LangMaster de-en
hab,have, LangMaster de-en
ihnen,them, LangMaster de-en
bitte,You're welcome, LangMaster de-en
etwas,some, LangMaster de-en
bei,at, LangMaster de-en
muss,got to, LangMaster de-en
los,Come on, LangMaster de-en
immer,always, LangMaster de-en
oh,Oh, LangMaster de-en
vor,before, LangMaster de-en
mann,man, LangMaster de-en
zum,to the, LangMaster de-en
wieder,again, LangMaster de-en
sehr,very, LangMaster de-en
sehen,see, LangMaster de-en
sagen,to say, LangMaster de-en
also,so, LangMaster de-en
gehen,walk, LangMaster de-en
wer,who, LangMaster de-en
alle,Everyone, LangMaster de-en
denn,because, LangMaster de-en
machen,do, LangMaster de-en
ihm,him, LangMaster de-en
können,can, LangMaster de-en
diese,these, LangMaster de-en
komm,come over, LangMaster de-en
danke,thanks, LangMaster de-en
euch,you, LangMaster de-en
einem,one, LangMaster de-en
tun,to do, LangMaster de-en
einer,one, LangMaster de-en
gibt,gives, LangMaster de-en
nie,never, LangMaster de-en
über,above, LangMaster de-en
des,of, LangMaster de-en
soll,target, LangMaster de-en
kein,no, LangMaster de-en
vielleicht,perhaps, LangMaster de-en
weg,path, LangMaster de-en
deine,yours, LangMaster de-en
wissen,to know, LangMaster de-en
am,at the, LangMaster de-en
werde,will, LangMaster de-en
leben,Life, LangMaster de-en
kommen,come, LangMaster de-en
kommt,comes, LangMaster de-en
müssen,have to, LangMaster de-en
viel,much, LangMaster de-en
wirklich,really, LangMaster de-en
frau,Mrs, LangMaster de-en
hatte,would have, LangMaster de-en
heute,today, LangMaster de-en
ok,OK, LangMaster de-en
willst,want, LangMaster de-en
dein,your, LangMaster de-en
würde,would, LangMaster de-en
tut,does, LangMaster de-en
ihre,their, LangMaster de-en
ganz,quite, LangMaster de-en
zeit,Time, LangMaster de-en
bis,until, LangMaster de-en
wollen,want, LangMaster de-en
einfach,simple, LangMaster de-en
macht,power, LangMaster de-en
gott,God, LangMaster de-en
zurück,return, LangMaster de-en
nun,well, LangMaster de-en
weil,because, LangMaster de-en
damit,in order to, LangMaster de-en
dieser,this, LangMaster de-en
kannst,can, LangMaster de-en
wurde,became, LangMaster de-en
gesagt,said, LangMaster de-en
wäre,were, LangMaster de-en
seine,his, LangMaster de-en
wollte,wanted to, LangMaster de-en
na,n / A, LangMaster de-en
zwei,two, LangMaster de-en
hallo,Hello, LangMaster de-en
meinen,say, LangMaster de-en
sicher,for sure, LangMaster de-en
weißt,know, LangMaster de-en
sir,sir (title), LangMaster de-en
morgen,morning, LangMaster de-en
ab,away, LangMaster de-en
leid,suffering, LangMaster de-en
lassen,permit, LangMaster de-en
waren,was, LangMaster de-en
zur,to the, LangMaster de-en
lass,let, LangMaster de-en
e,a / an, LangMaster de-en
geld,money, LangMaster de-en
liebe,love, LangMaster de-en
tag,Day, LangMaster de-en
leute,people, LangMaster de-en
vater,father, LangMaster de-en
genau,precisely, LangMaster de-en
sagte,said, LangMaster de-en
hätte,would have, LangMaster de-en
mach,do, LangMaster de-en
raus,Out, LangMaster de-en
durch,by, LangMaster de-en
lhr,your, LangMaster de-en
könnte,could, LangMaster de-en
schön,Nice, LangMaster de-en
wohl,well, LangMaster de-en
gesehen,seen, LangMaster de-en
keinen,none, LangMaster de-en
klar,clear, LangMaster de-en
glaube,faith, LangMaster de-en
her,here, LangMaster de-en
okay,OK, LangMaster de-en
mutter,mother, LangMaster de-en
sag,say, LangMaster de-en
dieses,this, LangMaster de-en
nacht,night, LangMaster de-en
besser,better, LangMaster de-en
ohne,without, LangMaster de-en
unsere,our, LangMaster de-en
jemand,someone, LangMaster de-en
sei,may be, LangMaster de-en
reden,talk, LangMaster de-en
gerade,just, LangMaster de-en
ob,if, LangMaster de-en
gehört,heard, LangMaster de-en
geh,go, LangMaster de-en
möchte,would like to, LangMaster de-en
dort,there, LangMaster de-en
sagt,says, LangMaster de-en
anderen,others, LangMaster de-en
gemacht,made, LangMaster de-en
hör,listen, LangMaster de-en
sollte,should, LangMaster de-en
selbst,self, LangMaster de-en
diesen,this, LangMaster de-en
gute,quality, LangMaster de-en
dachte,thought, LangMaster de-en
paar,pair, LangMaster de-en
weiter,Further, LangMaster de-en
vom,from the, LangMaster de-en
ins,into the, LangMaster de-en
herr,Mr, LangMaster de-en
wirst,will, LangMaster de-en
geben,give, LangMaster de-en
ordnung,order, LangMaster de-en
passiert,happened, LangMaster de-en
meiner,mine, LangMaster de-en
lange,Long, LangMaster de-en
gar,at all, LangMaster de-en
mädchen,girl, LangMaster de-en
meinem,my, LangMaster de-en
hören,hear, LangMaster de-en
sieht,sees, LangMaster de-en
daß,that, LangMaster de-en
guten,good, LangMaster de-en
hin,there, LangMaster de-en
gleich,same, LangMaster de-en
ach,Oh, LangMaster de-en
diesem,this, LangMaster de-en
freund,friend, LangMaster de-en
seit,since, LangMaster de-en
welt,world, LangMaster de-en
musst,have to, LangMaster de-en
hause,home, LangMaster de-en
natürlich,Naturally, LangMaster de-en
abend,evening, LangMaster de-en
angst,anxiety, LangMaster de-en
drei,three, LangMaster de-en
recht,Law, LangMaster de-en
richtig,correct, LangMaster de-en
viele,many, LangMaster de-en
deinen,yours, LangMaster de-en
finden,Find, LangMaster de-en
wieso,how come, LangMaster de-en
bleiben,stay, LangMaster de-en
tot,dead, LangMaster de-en
unter,under, LangMaster de-en
junge,Boy, LangMaster de-en
haus,House, LangMaster de-en
rein,pure, LangMaster de-en
essen,eat, LangMaster de-en
davon,of that, LangMaster de-en
nehmen,to take, LangMaster de-en
sollen,should, LangMaster de-en
helfen,help, LangMaster de-en
schnell,fast, LangMaster de-en
machst,do, LangMaster de-en
eines,one, LangMaster de-en
andere,other, LangMaster de-en
unser,our, LangMaster de-en
warte,wait, LangMaster de-en
wegen,because, LangMaster de-en
menschen,people, LangMaster de-en
stimmt,Right, LangMaster de-en
dafür,Therefore, LangMaster de-en
darf,allowed, LangMaster de-en
kinder,children, LangMaster de-en
genug,enough, LangMaster de-en
sonst,otherwise, LangMaster de-en
ganze,whole, LangMaster de-en
scheiße,crap, LangMaster de-en
he,hey, LangMaster de-en
halt,stop, LangMaster de-en
sollten,should, LangMaster de-en
zusammen,together, LangMaster de-en
gegen,against, LangMaster de-en
jahre,years, LangMaster de-en
erst,first, LangMaster de-en
denke,think, LangMaster de-en
steht,stands, LangMaster de-en
habt,have, LangMaster de-en
verdammt,Damn it, LangMaster de-en
moment,moment (same as English), LangMaster de-en
ihren,their, LangMaster de-en
glauben,believe, LangMaster de-en
bringen,bring, LangMaster de-en
gib,give, LangMaster de-en
seid,are, LangMaster de-en
niemand,nobody, LangMaster de-en
