German, English
ich,I
sie,she
das,the
ist,is
du,you
nicht,not
die,the
und,and
es,it
der,the
was,What
wir,weather
er,he
zu,to
ein,a
in,in
mit,with
mir,me
den,the
wie,how
ja,yes
auf,on
mich,me
so,so
eine,one
aber,but
hier,here
sind,are
für,for
von,from
haben,have
hat,Has
dich,you
war,was
dass,that
wenn,if
an,at
da,there
nein,no
bin,am
noch,still
dir,to you
nur,only
habe,have
ihr,your
sich,themselves
einen,a
uns,US
hast,have
dem,to the
ihn,him
aus,the end
kann,can
gut,Well
auch,even
schon,beautiful
jetzt,now
im,in the
sein,be
mal,times
dann,then
meine,my
als,as
um,around
mein,my
doch,but
bist,are you
wird,will
keine,no
nach,after
alles,All
man,One/you/they/people (Indefinite person)
lch,l
oder,or
nichts,nothing
wo,Where
werden,will
weiß,White
will,want
geht,goes
mehr,more
warum,why
hab,have
ihnen,them
bitte,You're welcome
etwas,some
bei,at
muss,got to
los,Come on
immer,always
oh,Oh
vor,before
mann,man
zum,to the
wieder,again
sehr,very
sehen,see
sagen,to say
also,so
gehen,walk
wer,who
alle,Everyone
denn,because
machen,do
ihm,him
können,can
diese,these
komm,come over
danke,thanks
euch,you
einem,one
tun,to do
einer,one
gibt,gives
nie,never
über,above
des,of
soll,target
kein,no
vielleicht,perhaps
weg,path
deine,yours
wissen,to know
am,at the
werde,will
leben,Life
kommen,come
kommt,comes
müssen,have to
viel,much
wirklich,really
frau,Mrs
hatte,would have
heute,today
ok,OK
willst,want
dein,your
würde,would
tut,does
ihre,their
ganz,quite
zeit,Time
bis,until
wollen,want
einfach,simple
macht,power
gott,God
zurück,return
nun,well
weil,because
damit,in order to
dieser,this
kannst,can
wurde,became
gesagt,said
wäre,were
seine,his
wollte,wanted to
na,n / A
zwei,two
hallo,Hello
meinen,say
sicher,for sure
weißt,know
sir,sir (title)
morgen,morning
ab,away
leid,suffering
lassen,permit
waren,was
zur,to the
lass,let
e,a / an
geld,money
liebe,love
tag,Day
leute,people
vater,father
genau,precisely
sagte,said
hätte,would have
mach,do
raus,Out
durch,by
lhr,your
könnte,could
schön,Nice
wohl,well
gesehen,seen
keinen,none
klar,clear
glaube,faith
her,here
okay,OK
mutter,mother
sag,say
dieses,this
nacht,night
besser,better
ohne,without
unsere,our
jemand,someone
sei,may be
reden,talk
gerade,just
ob,if
gehört,heard
geh,go
möchte,would like to
dort,there
sagt,says
anderen,others
gemacht,made
hör,listen
sollte,should
selbst,self
diesen,this
gute,quality
dachte,thought
paar,pair
weiter,Further
vom,from the
ins,into the
herr,Mr
wirst,will
geben,give
ordnung,order
passiert,happened
meiner,mine
lange,Long
gar,at all
mädchen,girl
meinem,my
hören,hear
sieht,sees
daß,that
guten,good
hin,there
gleich,same
ach,Oh
diesem,this
freund,friend
seit,since
welt,world
musst,have to
hause,home
natürlich,Naturally
abend,evening
angst,anxiety
drei,three
recht,Law
richtig,correct
viele,many
deinen,yours
finden,Find
wieso,how come
bleiben,stay
tot,dead
unter,under
junge,Boy
haus,House
rein,pure
essen,eat
davon,of that
nehmen,to take
sollen,should
helfen,help
schnell,fast
machst,do
eines,one
andere,other
unser,our
warte,wait
wegen,because
menschen,people
stimmt,Right
dafür,Therefore
darf,allowed
kinder,children
genug,enough
sonst,otherwise
ganze,whole
scheiße,crap
he,hey
halt,stop
sollten,should
zusammen,together
gegen,against
jahre,years
erst,first
denke,think
steht,stands
habt,have
verdammt,Damn it
moment,moment (same as English)
ihren,their
glauben,believe
bringen,bring
gib,give
seid,are
niemand,nobody
warten,wait
brauchen,to need
lhre,your
fragen,ask
arbeit,job
wann,when
heißt,called
sprechen,speak
siehst,see
jeder,everyone
kam,came
sofort,immediately
getan,did
fertig,done
kennen,know
einmal,once
sohn,son
halten,keep
dabei,included
hatten,had
männer,men
kind,child
jahren,years
beim,at the
seinen,his
mag,like
komme,come
allein,alone
bevor,before
bruder,brothers
musik,music
wahr,true
konnte,could
lieber,rather
uhr,clock
kopf,head
sache,Thing
gern,gladly
denken,think
brauche,need
ende,end
später,later
gehe,go
vergessen,forget
runter,down
fahren,travel
sieh,see
warst,were
stadt,city
namen,names
problem, problem (same as english)
sehe,see
augen,eyes
gab,gave
dank,thanks to
sage,legend
würden,would
eins,one
daran,to it
dazu,to
egal,no matter
frage,question
weit,far
familie,family
sterben,die
könnten,could
jungs,guys
jeden,every
minuten,minutes
verstehe,understand
deiner,yours
hilfe,help
beide,both
bald,soon
all,Alles
deinem,your
nimm,take
kleine,small
baby,infant
glück,happiness
freunde,friends
wusste,knew
verrückt,crazy
ruhig,quiet
land,country
darüber,about that
gefunden,found
tür,door
mache,make
seiner,his
wasser,water
auto,automobile
sah,saw
dies,this
eigentlich,actually
eure,your
ruhe,Quiet
stehen,stand
hand, Hand (Bodypart)
ihrer,of their
frauen,women
meinst,mean
töten,kill
