som,	as/like, LangMaster sv-en
jag,	I, LangMaster sv-en
hans,	his, LangMaster sv-en
att,	that, LangMaster sv-en
han,	he, LangMaster sv-en
var,	was, LangMaster sv-en
för,	for, LangMaster sv-en
på,	on, LangMaster sv-en
är,	are, LangMaster sv-en
med,	with, LangMaster sv-en
de,	they, LangMaster sv-en
vara,	be, LangMaster sv-en
vid,	at, LangMaster sv-en
ett,	one, LangMaster sv-en
ha,	have, LangMaster sv-en
detta,	this, LangMaster sv-en
från,	from, LangMaster sv-en
genom,	by, LangMaster sv-en
het,	hot, LangMaster sv-en
ord,	word, LangMaster sv-en
men,	but, LangMaster sv-en
vad,	what, LangMaster sv-en
några,	some, LangMaster sv-en
är,	is, LangMaster sv-en
den,	it, LangMaster sv-en
du,	you, LangMaster sv-en
eller,	or, LangMaster sv-en
hade,	had, LangMaster sv-en
den,	the, LangMaster sv-en
av,	of, LangMaster sv-en
till,	to, LangMaster sv-en
och,	and, LangMaster sv-en
en,	a, LangMaster sv-en
i,	in, LangMaster sv-en
vi,	we, LangMaster sv-en
kan,	can, LangMaster sv-en
ut,	out, LangMaster sv-en
andra,	other, LangMaster sv-en
var,	were, LangMaster sv-en
vilken,	which, LangMaster sv-en
göra,	do, LangMaster sv-en
deras,	their, LangMaster sv-en
tid,	time, LangMaster sv-en
om,	if, LangMaster sv-en
kommer,	will, LangMaster sv-en
hur,	how, LangMaster sv-en
sa,	said, LangMaster sv-en
ett,	an, LangMaster sv-en
varje,	each, LangMaster sv-en
berätta,	tell, LangMaster sv-en
gör,	does, LangMaster sv-en
uppsättning,	set, LangMaster sv-en
tre,	three, LangMaster sv-en
vill,	want, LangMaster sv-en
luft,	air, LangMaster sv-en
väl,	well, LangMaster sv-en
också,	also, LangMaster sv-en
spela,	play, LangMaster sv-en
liten,	small, LangMaster sv-en
ände,	end, LangMaster sv-en
sätta,	put, LangMaster sv-en
hem,	home, LangMaster sv-en
läsa,	read, LangMaster sv-en
sidan,	hand, LangMaster sv-en
port,	port, LangMaster sv-en
stor,	large, LangMaster sv-en
stava,	spell, LangMaster sv-en
lägg,	add, LangMaster sv-en
även,	even, LangMaster sv-en
mark,	land, LangMaster sv-en
här,	here, LangMaster sv-en
must,	must, LangMaster sv-en
