jeg,I, LangMaster no-en
det,the, LangMaster no-en
er,is, LangMaster no-en
du,you, LangMaster no-en
ikke,not, LangMaster no-en
en,one, LangMaster no-en
og,and, LangMaster no-en
i,in, LangMaster no-en
har,hair, LangMaster no-en
vi,we, LangMaster no-en
på,on, LangMaster no-en
til,to, LangMaster no-en
med,with, LangMaster no-en
å,conj. to / interj. oh!, LangMaster no-en
han,he, LangMaster no-en
deg,you, LangMaster no-en
for,for, LangMaster no-en
meg,me, LangMaster no-en
hva,what, LangMaster no-en
at,that, LangMaster no-en
den,it, LangMaster no-en
så,so, LangMaster no-en
som,as, LangMaster no-en
de,the, LangMaster no-en
kan,can, LangMaster no-en
var,spring, LangMaster no-en
vil,want, LangMaster no-en
av,of, LangMaster no-en
skal,shall, LangMaster no-en
om,about, LangMaster no-en
men,but, LangMaster no-en
et,a/an (article), LangMaster no-en
her,here, LangMaster no-en
ja,yes, LangMaster no-en
bare,just, LangMaster no-en
dere,you, LangMaster no-en
hun,she, LangMaster no-en
må,must, LangMaster no-en
noe,something, LangMaster no-en
ham,him, LangMaster no-en
dette,this, LangMaster no-en
nei,no, LangMaster no-en
nå,now, LangMaster no-en
kom,com, LangMaster no-en
min,my, LangMaster no-en
vet, Veterinaer / Veterinarian, LangMaster no-en
der,there, LangMaster no-en
din,your, LangMaster no-en
ut,out, LangMaster no-en
hvor,where, LangMaster no-en
da,then, LangMaster no-en
fra,from, LangMaster no-en
oss,us, LangMaster no-en
se,see, LangMaster no-en
være,be, LangMaster no-en
ha,have, LangMaster no-en
dem,them, LangMaster no-en
gjør,do, LangMaster no-en
igjen,again, LangMaster no-en
noen,some, LangMaster no-en
kommer,is coming, LangMaster no-en
ta,toe, LangMaster no-en
ville,wanted, LangMaster no-en
hvis,if, LangMaster no-en
alle,everyone, LangMaster no-en
få,few, LangMaster no-en
hvorfor,why, LangMaster no-en
tror,believe, LangMaster no-en
går,goes/yesterday, LangMaster no-en
alt,everything, LangMaster no-en
opp,up, LangMaster no-en
sa,so, LangMaster no-en
hvordan,how, LangMaster no-en
gå,go, LangMaster no-en
ingen,no, LangMaster no-en
når,when, LangMaster no-en
eller,or, LangMaster no-en
hvem,whose, LangMaster no-en
får,sheep, LangMaster no-en
